玩家评价,是否推荐,游玩时长(小时),觉得有价值的人数,觉得好笑的人数
战士做的蠢蠢一坨，前作硬撑给机器人，死亡收割删了，体系间互防，有一代的经验还能做出这样的原始人角色确实逆天。数值还给的扣扣搜搜，想活命就不能追体系，没体系到高层没伤害严重左右脑互搏。绿皮设计师填完战士数值有没有自己玩过？？,不推荐,30.0,10,0
鸡煲已飞升至赛博坦星球,推荐,59.9,48,16
"该品类头把交椅，现在也支持多人模式了
唯一问题是更像1代的大型dlc，以及多人模式是粗暴加怪数值，多人体验很受胡不胡牌影响，最倒霉的时候赶上几个人都没胡牌，可以感受怪的血多逆天",推荐,27.4,9,0
"2026/3/9
好游戏，毋庸置疑。我初中玩的一代盗版，后面补票入库。
只谈缺点，还望改进。叠甲，主玩女猎的，目前已经进度10了。

1.目前卡牌数值和一些敌人的数值存在很大问题，这一点在高进度的1到2层体现尤为明显，精英的强度远超当前BOSS且收益不足战损过大，导致道中运营居然更加趋向避战。
2.目前EA阶段关于单人猎人刀组成型难度极大，基本上需要开局拿aoe给5刀的金卡才有可能实现。此外刀舞目前有消耗词条，要实现小刀复读一般也不考虑1费每回合一刀的后置能力牌，只有袖里藏刀来补正。问题就出在这儿，长线战斗中袖里藏刀刚需开局自动打出的词条，否则2费起步，而刀组的能力卡刚需费用，运转牌核心回费牌只有战术大师和肾上腺素，算可遇不可求（玩高难两三把都没遇到... 最后纯靠脑力计算抠血量过的）。而刀组的问题也牵连到其他卡牌，例如能力牌的涂毒和陷阱，攻击牌的终结技，在更吃综合能力的这一代，抓牌优先级变的极低。
3.关于多人模式一些怪的数值问题，这个不用我多说，社区视频已经展示很多了。

主观：
另外，应对不同玩家游戏取向，是否会考虑加入局外成长？挑战进阶时自动关闭之类的，通关一次后才会解锁。
关于局内节点，是否会加入可控的随机性房间？例如根据玩家状态动态生成的房间，就像《以撒的结合》一样，根据血量低于或金币高于某阈值提高特殊房间的生成概率。
希望能多做出一些改变，毕竟目前的确没有多出一些让人眼前一亮的新颖设定和系统，更像以撒的DLC。

二编
多次体验10难还是给游戏差评，至少让官方看到x
玩家可控的随机性大大减少了... SL不再出现必死局已成时代眼泪。虽然这么说不太好，但是玩的越久越感觉塔2相当令人心累。猎人在道中未找到关键牌，在应对一层鱼和某无实体时可以直接放弃下一把，操作和运营的上限无法再超过“不可能”。粪数值怪物和粪数值卡是其次，玩家决策性贬值带来的遗憾和负反馈才是挫败感的关键。至少对我而言，在完善机制和调整数值之前，这游戏完全【远远不如】一代。
假如你是因为想要挑战性和游戏性而入坑的类肉鸽卡牌爱好者，在购买前请确认在游玩前能够组建3人小队（双人比单人受苦，别玩） 。",不推荐,60.6,8,2
塔二在打法上和一代的差距很大 一代因为数值更平衡你拿烂卡组也可以通关游戏 没有绝对的死局 但是二代的数值膨胀太大了很多怪我想不到低数值卡组怎么打比如猎人杀手 而且二代群怪更多更容易掉大战损埋伏笔 需要多抓防御牌 很多事件都给牌导致二代卡组普遍比一代更大 虽然事件有很多删牌事件但除非连续好几个删牌事件不然平均卡组也是25往上 但加法是对的 塔二数值的比一代高好几倍人均观者 更容易胡 胡起来更爽 各种强度比diy还逆天的卡打着打着就笑了 相对的怪也变强了 塔一层二层三层难度分配极不合理 点名猎人杀手这个b比大部分精英都强 二层的怪都太强了 三层的怪太弱了 一层怪池强度差距也很大 四驱兄弟比boos压力还大希望调整调整各层难度 二代事件更多更强收益比打精英还高 导致现在基本上走问好发育保护精英 最后说一下联机问题 部分怪在联机环境特别逆天 四只海鳗 四驱兄弟54层超绝缓冲墨宝 希望平衡平衡 双人联机过于坐牢 四人就是爽局了 希望双人联机难度调整一下 最后祝塔二蒸蒸日上,推荐,41.0,8,1
还是好好玩啊，角色卡组怪物都非常有趣，内容相比一代也丰富很多，超级上瘾，而且画风我也挺喜欢的，怪物设计非常有特色，猎宝攻击的时候尤其可爱，鸡煲变大了也有一种家有小儿初长成的感觉，非常之欣慰。单人模式五个角色都通关了，感觉比双人联机简单很多，双人联机玩鸡煲和亡灵法师完全在刮痧，但网上说说得了，现实谁不想在夜深人静的时候急头白脸地体验一把宝可梦训练师骨法和尖塔第五厉害的鸡煲呢。,推荐,29.3,3,0
"逆水行舟，不进则退。杀戮尖塔1我记得是17年左右的游戏，这都快十来年了吧，续作有任何 本质 的进步吗？甚至，出牌打击手感还明显退步了，我一度以为在玩国产盗版游戏。塔1已经有了如此多优秀的mod。试问：我们还能以一款处女作 或者 独立游戏 的角度去评判这样一款现象级优秀的续作吗？说的上纲上线一点，卖了那么多不去搞研发搞创新难道不是对于独立游戏精神的一种背叛么？何况你塔1有做过什么DLC或者更新来精益求精么？我相信多数玩家给好评都是出于情怀和一些期待。你遮住名字按照2026年的标准来看游戏就是个NPC水准。一看名字那只能给到拉完了。 

我们横向对比一下其他游戏，怪物火车续作老角色全在加新角色5个。 空洞骑士续作 全新角色全新地图，哈迪斯2也类似，当然动作游戏体量和卡牌游戏也不是一个级别。 以上续作我其实都不甚满意。好吧，就算你塔2的续作搞不出什么创新了，但是你起码得量大管饱吧，哪怕卡牌、小怪或者随机事件堆堆料也算有点诚意吧，结果到现在卡图都还没画完，不是你1代可以这么搞2代也这样？",不推荐,8.5,21,3
"至少我玩到现在，我不太明白出这个2的意义在哪。。。。。。现在大量的内容都是直接复制一代或者拿了一些mod来改，结果ea的数值崩的不行，机制怪满地乱走，做难度的方式就只是堆怪物攻击力。1-8进阶难度基本没有太大的体验差别。
1确实是这类卡牌游戏的典范，但是这么多年过去了，我觉得是时候省视一下其他同类游戏的优秀设计，而不是仅仅照搬自己上一代的设计做一个原价dlc，然后再挂上EA的名号避免被批评体验上的粗糙。总体感受就一个失望。",不推荐,73.6,5,0
"外骨骼虫和设计外骨骼虫的可以准备携手你们的直系亲属一起升天了
另外游戏底层我也看过了，这游戏像是从unity硬搬过来的，没有用很多godot特有的思维方式，做godot游戏的没有必要去研究这游戏",推荐,70.5,7,0
这个蜂群术士到底是哪个小脑发育不完全的设计师发明的？刺客怎么打这个BOSS啊？？？啊？？？？？不是你们自己不用刺客玩一下吗？？？？？？？,不推荐,31.7,7,3
很多人都说一二层精英恶心，真正的高手已经去和小怪问号厮杀了,推荐,55.1,4,2
"管你这那的，狂怒一开，莽就完事儿了；这一代增加了时间线系统解锁卡牌功能，大幅增加了剧情的比重；另外感觉到第三章敌人和玩家的数值膨胀都比较厉害，可能是每一幕之间三选一奖励事件的加入导致的；动画更丝滑流畅了，卡牌数量和种类也有明显的增加，喜欢一代的可以买，完成对局除了没有成就解锁外该有的都有。

铸造-The Marked，灾祸dot-博丽灵梦，奥斯提-凯尔希Mod",推荐,32.0,4,0
没想到这游戏解锁鸡煲都是启动最慢的,推荐,19.4,4,1
"很难想象一个游戏里中对策游戏角色的怪有这么多，攻击意图的狂暴使得每一次鬼抽都达到了令人发指的战损。平衡性极差，角色甚至可以说是有先天高低贵贱之分。一些角色选择的特定体系面对特定怪可以说是基本束手无策，只能期待最好不要碰上。连感觉相对较高上下限的战士在打A10的时候遇到比较倒霉的发牌也有心无力（连铁波斩都可以在二层频频出现的）

关于怪池里的粪怪实在是难以一一道全。就拿一个刚打完的例子来说，鸡煲发牌区到三层只能拿2费塞0到抽牌库那张作为核心输出卡（忘了叫什么名字了），发了一堆过牌和加费，道中辛辛苦苦找上限牌到三层末boss被女皇直接上个赛博牌贞操锁，一堆运转和加费硬是被脑残机制卡死。而玩战士的时候基本上是迅速启动完一脚踢死，感受不到多流派的趣味而只能感受到浓浓的恶意，再者猎人杀手和恐怖蜂窝人不知道刀猎要如何应对。

目前打胜率比较高的选择是二三层避战走商店问号，进商店就买药保住战斗力。胜率打法相当公式而无聊，硬去打怪遇到对策怪又被克制到死，另外遗物强度明显使得冲怪的收益不高。只能说三层拿到灵体事件基本就赢了，变态道中这一块😓",不推荐,22.7,6,0
干嘛做一堆恶心人的图片阿  那个异蛙寄生虫 还有那个感染的卡面  还有那个骚动 让人看了生理不适  到底是什么审美   会不会画画阿！,不推荐,15.3,12,7
"和前作相比，添加了好友开房组队的多人模式，老角色的卡牌都有调整，敌人的机制设计更有趣了，在BOSS战后新增三选一的祝福。

唯一不变的是……最后解锁的一定是最强角色！",推荐,38.6,2,0
"这一作保留了部分1代的卡牌和遗物，然后加了巨多新的更强的卡牌、遗物、事件，甚至还有类似小丑牌的附魔
举例一个顶级设计：怪物在战斗中会随机偷一张牌，打败怪物后可选择是否取回，不取回=送一次删牌
设计师简直是天才",推荐,23.6,2,0
"非常好玩，非常上头，无脑入
战士可太爽了，玩着玩着笑出声",推荐,51.0,6,0
能联机真是最伟大的发明，无敌了没缺点。除了我菜天天乱丢牌序打不过真挑不出一点问题,推荐,22.9,2,0
一些小细节优化改动还是不错，第一次遇到偷牌的敌人我笑了，希望早点正式版，以及创意工坊,推荐,5.6,2,0
"鸡鸣时已是凌晨三点钟，终于购入杀戮尖塔二
煲仔饭煮熟，短时间之内用不着担心饿肚子
是时候了，在黑暗的拥抱下游戏下载完成
我靠着咖啡因硬撑重振精神燃烧起血液
第900h塔一我面对未知怪物无惧疼痛
势不可挡，全身冲锋！塔二，启动！
喜，再次见到战士鸽，选择职业
欢快进阶0通关，过去一小时
的确该沉睡了，睡意已上头
角色还剩下三位没有解锁
色系蓝色职业是最强哒！！！",推荐,29.8,6,7
